index,Date,Temperature(f),Difference
720,2006-08-01 00:00:00.000 +0200,69.83,19.58
1490,2006-12-10 02:00:00.000 +0100,47.12,10.379999999999995
1730,2006-12-02 02:00:00.000 +0100,43.0,11.52
1993,2006-12-03 01:00:00.000 +0100,39.1,10.940000000000001
2496,2006-02-20 00:00:00.000 +0100,40.21,16.04
3122,2006-01-19 02:00:00.000 +0100,36.08,11.659999999999997
3144,2006-01-02 00:00:00.000 +0100,41.76,18.639999999999997
3218,2006-01-22 02:00:00.000 +0100,33.05,18.119999999999997
3361,2006-01-28 01:00:00.000 +0100,28.61,10.86
3624,2006-07-01 00:00:00.000 +0200,64.0,34.3
3655,2006-07-10 07:00:00.000 +0200,71.43,10.460000000000008
3943,2006-07-21 07:00:00.000 +0200,72.74000000000001,10.56000000000001
4656,2006-06-20 00:00:00.000 +0200,70.80000000000001,18.710000000000008
4920,2006-06-30 00:00:00.000 +0200,67.91,14.79
5401,2006-03-21 01:00:00.000 +0100,46.26,10.559999999999995
5450,2006-03-23 02:00:00.000 +0100,47.83,12.11
5616,2006-03-03 01:00:00.000 +0100,36.7,12.400000000000002
5639,2006-03-30 00:00:00.000 +0200,48.84,10.050000000000004
5713,2006-03-05 02:00:00.000 +0100,48.0,13.689999999999998
5831,2006-05-01 00:00:00.000 +0200,54.92,18.840000000000003
6601,2006-11-10 02:00:00.000 +0100,45.92,14.05
6841,2006-11-02 02:00:00.000 +0100,42.91,11.289999999999996
6863,2006-11-20 00:00:00.000 +0100,45.75,16.84
7127,2006-11-30 00:00:00.000 +0100,41.66,14.709999999999997
7176,2006-11-05 01:00:00.000 +0100,45.03,10.86
7225,2006-11-07 02:00:00.000 +0100,47.04,10.519999999999996
7295,2006-10-01 00:00:00.000 +0200,57.67,10.719999999999999
7424,2006-10-14 09:00:00.000 +0200,56.50999999999999,11.019999999999989
7559,2006-10-02 00:00:00.000 +0200,59.7,17.580000000000005
7850,2006-10-30 02:00:00.000 +0100,52.96000000000001,19.02000000000001
7896,2006-10-04 00:00:00.000 +0200,63.800000000000004,29.840000000000003
8040,2010-08-02 00:00:00.000 +0200,65.84,16.610000000000007
8144,2006-09-12 08:00:00.000 +0200,58.019999999999996,10.139999999999993
9008,2007-04-18 08:00:00.000 +0200,56.52,10.450000000000003
9152,2007-04-23 08:00:00.000 +0200,53.01,12.369999999999997
9224,2007-04-26 08:00:00.000 +0200,56.53,10.400000000000006
9528,2007-08-10 00:00:00.000 +0200,71.72,12.789999999999992
10512,2007-12-02 00:00:00.000 +0100,34.01,11.969999999999999
10776,2007-12-03 00:00:00.000 +0100,38.04,16.08
10848,2007-12-04 00:00:00.000 +0100,42.13,19.26
11017,2007-02-10 01:00:00.000 +0100,43.12,11.009999999999998
11305,2007-02-21 01:00:00.000 +0100,45.49,10.240000000000002
11473,2007-02-28 01:00:00.000 +0100,46.6,13.18
11642,2007-02-09 02:00:00.000 +0100,47.21,10.630000000000003
11881,2007-01-18 01:00:00.000 +0100,49.93000000000001,15.970000000000006
11952,2007-01-20 00:00:00.000 +0100,47.09,11.970000000000006
11954,2007-01-20 02:00:00.000 +0100,48.92,10.480000000000004
12050,2007-01-24 02:00:00.000 +0100,47.49,11.810000000000002
12408,2007-07-01 00:00:00.000 +0200,58.84,16.630000000000003
12435,2007-07-10 03:00:00.000 +0200,67.59,11.159999999999997
12674,2007-07-02 02:00:00.000 +0200,71.4,10.180000000000007
12895,2007-07-28 07:00:00.000 +0200,72.56,11.25
13399,2007-06-19 07:00:00.000 +0200,74.39,10.379999999999995
14138,2007-03-02 02:00:00.000 +0100,50.81,10.530000000000001
14473,2007-03-04 02:00:00.000 +0100,46.09,10.870000000000005
14504,2007-03-05 09:00:00.000 +0100,44.75,10.75
14527,2007-03-06 08:00:00.000 +0100,45.68,11.46
15887,2007-11-03 00:00:00.000 +0100,45.53,17.75
15935,2007-11-04 00:00:00.000 +0100,45.32,18.06
16079,2007-10-01 00:00:00.000 +0200,53.760000000000005,12.800000000000004
16178,2007-10-13 03:00:00.000 +0200,50.86,12.450000000000003
16297,2007-10-18 02:00:00.000 +0200,49.11,11.399999999999999
16304,2007-10-18 09:00:00.000 +0200,44.68,10.14
16343,2007-10-02 00:00:00.000 +0200,52.84,14.82
16824,2007-09-01 00:00:00.000 +0200,63.92,10.93
17088,2007-09-02 00:00:00.000 +0200,60.91,12.699999999999996
17144,2007-09-21 08:00:00.000 +0200,48.88,10.200000000000003
17168,2007-09-22 08:00:00.000 +0200,49.00999999999999,12.039999999999992
17192,2007-09-23 08:00:00.000 +0200,51.0,10.240000000000002
17672,2008-04-14 08:00:00.000 +0200,50.99000000000001,10.040000000000006
17832,2008-04-20 00:00:00.000 +0200,54.36,11.030000000000001
18264,2008-08-01 00:00:00.000 +0200,69.67000000000002,15.570000000000007
18435,2008-08-16 03:00:00.000 +0200,82.54999999999998,19.619999999999983
19536,2008-12-03 00:00:00.000 +0100,42.12,19.159999999999997
19608,2008-12-04 00:00:00.000 +0100,41.76,17.72
19658,2008-12-06 02:00:00.000 +0100,53.75,10.030000000000001
19898,2008-02-15 02:00:00.000 +0100,34.0,11.68
19969,2008-02-18 01:00:00.000 +0100,33.2,10.070000000000007
20123,2008-02-23 11:00:00.000 +0100,58.68000000000001,10.690000000000005
20257,2008-02-29 01:00:00.000 +0100,45.85,10.18
20736,2008-01-20 00:00:00.000 +0100,43.09,17.130000000000003
20810,2008-01-23 02:00:00.000 +0100,37.87,10.689999999999998
20930,2008-01-28 02:00:00.000 +0100,40.99,13.590000000000003
21000,2008-01-30 00:00:00.000 +0100,34.0,10.299999999999997
21192,2008-07-01 00:00:00.000 +0200,68.58,39.66
22825,2008-03-16 01:00:00.000 +0100,49.33,13.129999999999995
22874,2008-03-18 02:00:00.000 +0100,42.87,10.29
22920,2008-03-02 00:00:00.000 +0100,44.21,14.02
22969,2008-03-21 01:00:00.000 +0100,42.33,14.239999999999998
23113,2008-03-27 01:00:00.000 +0100,43.95,11.120000000000005
23399,2008-05-01 00:00:00.000 +0200,56.0,13.11
23502,2008-05-13 07:00:00.000 +0200,56.46000000000001,10.670000000000009
23687,2008-05-20 00:00:00.000 +0200,64.75,15.64
23951,2008-05-30 00:00:00.000 +0200,62.74,12.649999999999999
24102,2008-05-08 07:00:00.000 +0200,51.48,10.549999999999997
24407,2008-11-02 00:00:00.000 +0100,55.71000000000001,16.580000000000005
24671,2008-11-03 00:00:00.000 +0100,50.17,10.29
25058,2008-10-17 03:00:00.000 +0200,62.03999999999999,17.069999999999993
25127,2008-10-02 00:00:00.000 +0200,60.0,15.909999999999997
25569,2008-10-08 09:00:00.000 +0200,62.34,10.620000000000005
25707,2008-09-13 03:00:00.000 +0200,61.870000000000005,10.600000000000009
25872,2008-09-02 00:00:00.000 +0200,61.59,14.160000000000004
26136,2008-09-03 00:00:00.000 +0200,62.55,14.029999999999987
26184,2008-09-04 00:00:00.000 +0200,67.08,16.689999999999998
26283,2008-09-08 03:00:00.000 +0200,72.42000000000002,11.430000000000007
26498,2009-04-16 02:00:00.000 +0200,54.66,10.659999999999997
26523,2009-04-17 03:00:00.000 +0200,58.0,10.939999999999998
26714,2009-04-24 02:00:00.000 +0200,52.41,11.409999999999997
27048,2009-08-01 00:00:00.000 +0200,70.0,16.28
27411,2009-08-23 03:00:00.000 +0200,70.0,10.979999999999997
27576,2009-08-03 00:00:00.000 +0200,80.0,14.25
27648,2009-08-04 00:00:00.000 +0200,81.0,22.0
28056,2009-12-02 00:00:00.000 +0100,47.0,28.0
28082,2009-12-20 02:00:00.000 +0100,19.0,12.660000000000004
28105,2009-12-21 01:00:00.000 +0100,21.64,19.640000000000004
28129,2009-12-22 01:00:00.000 +0100,35.26,10.259999999999998
28177,2009-12-24 01:00:00.000 +0100,50.1,12.100000000000001
28345,2009-12-30 01:00:00.000 +0100,48.730000000000004,11.730000000000004
28800,2009-02-02 00:00:00.000 +0100,36.0,12.0
29496,2009-01-20 00:00:00.000 +0100,38.0,13.0
29665,2009-01-27 01:00:00.000 +0100,40.69,11.689999999999998
29760,2009-01-30 00:00:00.000 +0100,36.0,19.0
29906,2009-01-08 02:00:00.000 +0100,24.0,11.879999999999999
29952,2009-07-01 00:00:00.000 +0200,66.0,54.0
30171,2009-07-18 03:00:00.000 +0200,71.0,10.57
30439,2009-07-28 07:00:00.000 +0200,68.0,11.0
30698,2009-06-01 02:00:00.000 +0200,57.22,10.219999999999999
30823,2009-06-14 07:00:00.000 +0200,66.0,11.0
30984,2009-06-20 00:00:00.000 +0200,72.0,15.439999999999998
31248,2009-06-30 00:00:00.000 +0200,65.0,13.0
31298,2009-06-05 02:00:00.000 +0200,58.54,13.54
31561,2009-03-15 01:00:00.000 +0100,42.75,11.75
31897,2009-03-28 01:00:00.000 +0100,52.099999999999994,13.099999999999994
31967,2009-03-30 00:00:00.000 +0200,56.0,14.0
32159,2009-05-01 00:00:00.000 +0200,52.0,11.0
32447,2009-05-20 00:00:00.000 +0200,64.0,11.060000000000002
32666,2009-05-29 03:00:00.000 +0200,56.0,10.130000000000003
32809,2009-05-06 02:00:00.000 +0200,56.50999999999999,11.509999999999991
32834,2009-05-07 03:00:00.000 +0200,58.0,10.159999999999997
32927,2009-11-10 00:00:00.000 +0100,51.0,21.0
33385,2009-11-28 02:00:00.000 +0100,48.0,11.04
33674,2009-10-11 03:00:00.000 +0200,59.0,10.450000000000003
33887,2009-10-02 00:00:00.000 +0200,60.0,16.090000000000003
34944,2009-09-04 00:00:00.000 +0200,74.0,20.599999999999994
35306,2010-04-18 02:00:00.000 +0200,51.33,11.329999999999998
35808,2010-08-01 00:00:00.000 +0200,66.85,15.569999999999993
36336,2010-08-03 00:00:00.000 +0200,66.86,15.229999999999997
36408,2010-08-04 00:00:00.000 +0200,70.42000000000002,16.37000000000002
36816,2010-12-02 00:00:00.000 +0100,38.55,17.999999999999996
36841,2010-12-20 01:00:00.000 +0100,31.8,11.120000000000001
36962,2010-12-25 02:00:00.000 +0100,47.79,14.64
37010,2010-12-27 02:00:00.000 +0100,24.96,13.280000000000001
37033,2010-12-28 01:00:00.000 +0100,18.32,10.620000000000001
37080,2010-12-03 00:00:00.000 +0100,35.83,19.090000000000003
37152,2010-12-04 00:00:00.000 +0100,36.54,17.369999999999997
37201,2010-12-06 01:00:00.000 +0100,41.74,10.860000000000003
37274,2010-12-09 02:00:00.000 +0100,53.96,17.11
37584,2010-02-20 00:00:00.000 +0100,48.69,36.559999999999995
37586,2010-02-20 02:00:00.000 +0100,47.48,11.329999999999998
37754,2010-02-27 02:00:00.000 +0100,45.92,11.350000000000001
37801,2010-02-03 01:00:00.000 +0100,30.78,17.060000000000002
37968,2010-01-01 00:00:00.000 +0100,49.0,23.62
38232,2010-01-02 00:00:00.000 +0100,42.96,13.880000000000003
38234,2010-01-02 02:00:00.000 +0100,42.75,10.479999999999997
38665,2010-01-08 01:00:00.000 +0100,46.51,14.599999999999998
38712,2010-07-01 00:00:00.000 +0200,70.88,25.159999999999997
39480,2010-06-10 00:00:00.000 +0200,67.09,12.439999999999998
40008,2010-06-30 00:00:00.000 +0200,66.71,10.629999999999995
40727,2010-03-30 00:00:00.000 +0200,51.79,18.75
40919,2010-05-01 00:00:00.000 +0200,59.5,29.63
42144,2010-11-28 01:00:00.000 +0100,39.14,10.14
42191,2010-11-03 00:00:00.000 +0100,44.79,12.490000000000002
42649,2010-10-02 02:00:00.000 +0200,50.52000000000001,10.850000000000009
42911,2010-10-03 00:00:00.000 +0200,52.74,18.36
43128,2010-09-01 00:00:00.000 +0200,53.95,12.780000000000001
43731,2010-09-05 03:00:00.000 +0200,58.71000000000001,10.31000000000001
43947,2011-04-13 03:00:00.000 +0200,51.91,10.86
44432,2011-04-04 08:00:00.000 +0200,51.150000000000006,10.390000000000008
44498,2011-04-07 02:00:00.000 +0200,62.07,10.020000000000003
44523,2011-04-08 03:00:00.000 +0200,65.91,10.680000000000007
44547,2011-04-09 03:00:00.000 +0200,57.93000000000001,15.02000000000001
44671,2011-08-13 07:00:00.000 +0200,65.35,11.169999999999987
44856,2011-08-20 00:00:00.000 +0200,74.68,11.790000000000006
44859,2011-08-20 03:00:00.000 +0200,69.68,13.70000000000001
45128,2011-08-30 08:00:00.000 +0200,70.59,11.57
45336,2011-12-10 00:00:00.000 +0100,41.25,14.170000000000002
45506,2011-12-17 02:00:00.000 +0100,47.91,11.219999999999999
45912,2011-12-04 00:00:00.000 +0100,44.69,16.979999999999997
46105,2011-02-11 01:00:00.000 +0100,38.41,12.529999999999998
46130,2011-02-12 02:00:00.000 +0100,44.13,15.830000000000002
46344,2011-02-20 00:00:00.000 +0100,37.87,14.850000000000001
46537,2011-02-28 01:00:00.000 +0100,27.33,11.529999999999998
46752,2011-01-10 00:00:00.000 +0100,39.22,16.92
47016,2011-01-20 00:00:00.000 +0100,37.88,13.910000000000004
47377,2011-01-06 01:00:00.000 +0100,31.19,12.940000000000001
47472,2011-07-01 00:00:00.000 +0200,63.88,22.82
47496,2011-07-10 00:00:00.000 +0200,70.17000000000002,12.990000000000023
47671,2011-07-17 07:00:00.000 +0200,67.69,10.719999999999999
47760,2011-07-20 00:00:00.000 +0200,81.22,30.289999999999992
47763,2011-07-20 03:00:00.000 +0200,74.38,11.5
48459,2011-06-19 03:00:00.000 +0200,67.62,11.969999999999999
48480,2011-06-02 00:00:00.000 +0200,65.70999999999998,10.539999999999978
48627,2011-06-25 03:00:00.000 +0200,61.78999999999999,10.569999999999993
48961,2011-03-10 01:00:00.000 +0100,33.43,10.300000000000004
49487,2011-03-30 00:00:00.000 +0200,41.71,11.54
49679,2011-05-01 00:00:00.000 +0200,56.0,31.84
50951,2011-11-03 00:00:00.000 +0100,40.5,12.41
51000,2011-11-04 01:00:00.000 +0100,44.38,12.280000000000001
51143,2011-10-01 00:00:00.000 +0200,52.96000000000001,14.280000000000008
51368,2011-10-18 09:00:00.000 +0200,40.39,12.77
51385,2011-10-19 02:00:00.000 +0200,48.55,13.79
51671,2011-10-03 00:00:00.000 +0200,51.05,11.509999999999998
51744,2011-10-04 00:00:00.000 +0200,50.0,14.04
51752,2011-10-04 08:00:00.000 +0200,53.6,10.420000000000002
51888,2011-09-01 00:00:00.000 +0200,57.96000000000001,13.63000000000001
52016,2011-09-14 08:00:00.000 +0200,71.51,10.620000000000005
52448,2011-09-30 08:00:00.000 +0200,56.3,10.339999999999996
53095,2012-04-28 07:00:00.000 +0200,63.0,11.0
53328,2012-08-01 00:00:00.000 +0200,67.84,35.68000000000001
53479,2012-08-15 07:00:00.000 +0200,58.62,10.379999999999995
53624,2012-08-20 08:00:00.000 +0200,74.12,10.379999999999995
53648,2012-08-21 08:00:00.000 +0200,80.32,12.620000000000005
55104,2012-02-20 00:00:00.000 +0100,34.0,20.0
55512,2012-01-01 00:00:00.000 +0100,26.79,26.79
56040,2012-01-03 00:00:00.000 +0100,37.0,17.0
56112,2012-01-04 00:00:00.000 +0100,33.0,16.0
56256,2012-07-01 00:00:00.000 +0200,76.92000000000002,39.920000000000016
56520,2012-07-02 00:00:00.000 +0200,79.35,10.649999999999991
57223,2012-06-18 07:00:00.000 +0200,76.31,10.460000000000008
57944,2012-03-18 08:00:00.000 +0100,55.0,10.219999999999999
58040,2012-03-21 08:00:00.000 +0100,54.0,10.869999999999997
58136,2012-03-25 09:00:00.000 +0200,57.0,11.219999999999999
58271,2012-03-30 00:00:00.000 +0200,50.0,17.0
58463,2012-05-01 00:00:00.000 +0200,65.0,37.0
59471,2012-11-02 00:00:00.000 +0100,49.09,12.25
59927,2012-10-01 00:00:00.000 +0200,64.84,25.46
60191,2012-10-02 00:00:00.000 +0200,66.71,13.449999999999996
60456,2012-10-03 00:00:00.000 +0200,59.84,22.0
60528,2012-10-04 00:00:00.000 +0200,52.72,12.019999999999996
60672,2012-09-01 00:00:00.000 +0200,74.39,25.78
61784,2013-04-24 08:00:00.000 +0200,62.120000000000005,10.260000000000005
61944,2013-04-30 00:00:00.000 +0200,63.89,24.97
62112,2013-08-01 00:00:00.000 +0200,63.09,15.46
62215,2013-08-13 07:00:00.000 +0200,67.53,10.350000000000009
62712,2013-08-04 00:00:00.000 +0200,72.85,16.539999999999992
62767,2013-08-06 07:00:00.000 +0200,76.27,12.349999999999994
62880,2013-12-10 00:00:00.000 +0100,44.99,16.020000000000003
63605,2013-02-01 05:00:00.000 +0100,45.04,10.04
65016,2013-07-01 00:00:00.000 +0200,58.67,33.510000000000005
65239,2013-07-18 07:00:00.000 +0200,69.4,10.550000000000011
65407,2013-07-24 07:00:00.000 +0200,69.35,12.339999999999996
65479,2013-07-27 07:00:00.000 +0200,74.43,10.510000000000005
65568,2013-07-30 00:00:00.000 +0200,80.25,18.6
66048,2013-06-20 00:00:00.000 +0200,73.8,18.209999999999994
66504,2013-03-10 00:00:00.000 +0100,49.87,11.96
67111,2013-03-05 08:00:00.000 +0100,38.64,11.719999999999999
67223,2013-05-01 00:00:00.000 +0200,67.84,17.050000000000004
68495,2013-11-03 00:00:00.000 +0100,57.04,24.949999999999996
68543,2013-11-04 00:00:00.000 +0100,48.01,20.889999999999997
69240,2013-10-30 00:00:00.000 +0100,54.870000000000005,18.770000000000003
69393,2013-10-08 09:00:00.000 +0200,53.83,10.39
70040,2013-09-05 08:00:00.000 +0200,59.8,11.79
70832,2014-04-08 08:00:00.000 +0200,51.35,10.259999999999998
70872,2014-08-01 00:00:00.000 +0200,68.76,24.67
71400,2014-08-03 00:00:00.000 +0200,67.88,11.579999999999998
72144,2014-12-03 00:00:00.000 +0100,39.79,20.79
72216,2014-12-04 00:00:00.000 +0100,40.96,31.73
72384,2014-02-10 00:00:00.000 +0100,45.42,15.5
72648,2014-02-20 00:00:00.000 +0100,45.92,19.060000000000002
73320,2014-01-20 00:00:00.000 +0100,48.96000000000001,13.050000000000011
73560,2014-01-03 00:00:00.000 +0100,35.99,14.020000000000003
73632,2014-01-04 00:00:00.000 +0100,38.97,17.009999999999998
73776,2014-07-01 00:00:00.000 +0200,58.21,23.08
74380,2014-07-04 07:00:00.000 +0200,65.4,10.680000000000007
75069,2014-06-30 00:00:00.000 +0200,72.0,15.189999999999998
75196,2014-06-08 07:00:00.000 +0200,69.68,10.660000000000004
77708,2014-10-02 00:00:00.000 +0200,60.96,14.43999999999999
77973,2014-10-03 00:00:00.000 +0200,57.05,11.169999999999995
78045,2014-10-04 00:00:00.000 +0200,55.92,20.840000000000003
78189,2014-09-01 00:00:00.000 +0200,68.71,10.659999999999997
78717,2014-09-03 00:00:00.000 +0200,64.93,17.110000000000007
78765,2014-09-04 00:00:00.000 +0200,68.0,16.46
78941,2015-04-10 08:00:00.000 +0200,47.03,10.520000000000003
79276,2015-04-23 07:00:00.000 +0200,49.27000000000001,10.56000000000001
79629,2015-08-01 00:00:00.000 +0200,55.01,12.36
79685,2015-08-11 08:00:00.000 +0200,77.7,10.019999999999996
80973,2015-12-04 00:00:00.000 +0100,41.04,21.33
81813,2015-01-10 00:00:00.000 +0100,44.16,21.069999999999993
82533,2015-07-01 00:00:00.000 +0200,59.849999999999994,16.799999999999997
84548,2015-03-30 00:00:00.000 +0200,45.17,10.410000000000004
84740,2015-05-01 00:00:00.000 +0200,53.0,16.11
85028,2015-05-20 00:00:00.000 +0200,65.09,13.680000000000007
85492,2015-11-01 08:00:00.000 +0100,42.34,12.090000000000003
85508,2015-11-10 00:00:00.000 +0100,54.88,23.96
85772,2015-11-20 00:00:00.000 +0100,44.9,14.939999999999998
86036,2015-11-30 00:00:00.000 +0100,40.17,11.010000000000002
86805,2015-10-04 00:00:00.000 +0200,52.96000000000001,17.960000000000008
86949,2015-09-01 00:00:00.000 +0200,67.92000000000002,18.630000000000017
87477,2015-09-03 00:00:00.000 +0200,68.88,15.059999999999995
87525,2015-09-04 00:00:00.000 +0200,70.70999999999998,21.299999999999983
88389,2016-08-01 00:00:00.000 +0200,71.08,20.08999999999999
90597,2016-01-10 00:00:00.000 +0100,37.67,13.810000000000002
91125,2016-01-30 00:00:00.000 +0100,29.04,10.39
91317,2016-07-01 00:00:00.000 +0200,68.01999999999998,30.34999999999998
94076,2016-05-30 00:00:00.000 +0200,70.75999999999999,20.39999999999999
94988,2016-10-01 00:00:00.000 +0200,54.55,13.879999999999995
95516,2016-10-03 00:00:00.000 +0200,59.92,16.03
95589,2016-10-04 00:00:00.000 +0200,53.92,10.54
95733,2016-09-01 00:00:00.000 +0200,61.42000000000001,20.55000000000001
96221,2016-09-28 08:00:00.000 +0200,52.96000000000001,10.070000000000007
